count,chip_type,onsite_topup_count
1,POS,0
894,Pass,0
14,Staff,0
46,Guest,1
363,POS,1
23,POS VIP,1
3924,Pass,1
141,Staff,1
25,Guest,2
219,POS,2
2671,Pass,2
71,Staff,2
5,Guest,3
56,POS,3
1036,Pass,3
19,Staff,3
2,Guest,4
19,POS,4
308,Pass,4
15,Staff,4
2,Guest,5
7,POS,5
85,Pass,5
3,Staff,5
2,POS,6
34,Pass,6
1,Staff,6
1,Guest,7
16,Pass,7
4,Pass,8
1,Pass,9
1,Pass,10
